Título,doi,arxiv,pmid,isbn,doi_score,arxiv_score,pmid_score,isbn_score,are_scores_different,final_score,cited_by_tweeters,cited_by_rdts,readers_count,cited_by_posts_count,cited_by_feeds_count,cited_by_accounts_count,cited_by_msm_count,cited_by_fbwalls_count,cohorts,cited_by_videos_count,cited_by_gplus_count
Statistical inference on random graphs and networks,10.11606/T.45.2018.TDE-04042018-094802,,,,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,https://api.altmetric.com/v1/doi/10.11606/T.45.2018.TDE-04042018-094802,,,,
Synaptic balance due to homeostatically self-organized quasicritical dynamics,10.1103/PHYSREVRESEARCH.2.012042,,,,7.05,,,,,7.05,12,https://api.altmetric.com/v1/doi/10.1103/PHYSREVRESEARCH.2.012042,21.00,13.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVRESEARCH.2.012042,13.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVRESEARCH.2.012042,1.00,6.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVRESEARCH.2.012042,https://api.altmetric.com/v1/doi/10.1103/PHYSREVRESEARCH.2.012042
Teoremas fundamentais para o caminho mais curto entre duas sequências,10.11606/T.45.2015.TDE-16072015-154752,,,,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,https://api.altmetric.com/v1/doi/10.11606/T.45.2015.TDE-16072015-154752,,,,
Teste de hipóteses para grafos aleatórios com aplicação à neurociência,10.11606/D.45.2014.TDE-12052014-223530,,,,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,,,,,-1,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,https://api.altmetric.com/v1/doi/10.11606/D.45.2014.TDE-12052014-223530,,,,
Uma Plataforma Computacional para a Construção de Bancos de Dados para Experimentos de Neurociência,10.5753/BRESCI.2018.3275,,,,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,,,,,-1,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,https://api.altmetric.com/v1/doi/10.5753/BRESCI.2018.3275,,,,
"Using Wikiversity in Teaching Scientific Journalism: Openness, Collaboration and Connectivism",10.35699/1983-3652.2021.24935,,,,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,,,,,-1,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,https://api.altmetric.com/v1/doi/10.35699/1983-3652.2021.24935,,,,
Utilizando álgebras de flags para problemas de combinatória extremal,10.5753/ETC.2017.3200,,,,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,,,,,-1,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,https://api.altmetric.com/v1/doi/10.5753/ETC.2017.3200,,,,
Varieties of collaborative digital dissemination processes: description and analysis of GLAM-Wiki initiatives in Brazil,10.20396/resgate.v29i1.8659966,,,,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,,,,,-1,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,https://api.altmetric.com/v1/doi/10.20396/resgate.v29i1.8659966,,,,
A Bayesian approach for convex combination of two Gumbel-Barnett copulas,10.1063/1.4825802,,,,https://api.altmetric.com/v1/doi/10.1063/1.4825802,,,,,-1,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,https://api.altmetric.com/v1/doi/10.1063/1.4825802,,,,
A copula model to analyze minimum admission scores,10.1063/1.4825799,,,,https://api.altmetric.com/v1/doi/10.1063/1.4825799,,,,,-1,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,https://api.altmetric.com/v1/doi/10.1063/1.4825799,,,,
A copula-based partition Markov procedure,10.1080/03610926.2017.1359291,,,,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,,,,,-1,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,https://api.altmetric.com/v1/doi/10.1080/03610926.2017.1359291,,,,
A cortical multi-layered model and the properties of its internally-generated activity.,10.1186/1471-2202-16-S1-P209,,,,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,,,,,-1,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,https://api.altmetric.com/v1/doi/10.1186/1471-2202-16-S1-P209,,,,
A counting lemma for sparse pseudorandom hypergraphs,10.1016/J.ENDM.2015.07.070,,,,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,,,,,-1,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,https://api.altmetric.com/v1/doi/10.1016/J.ENDM.2015.07.070,,,,
A model for neural activity in the absence of external stimuli,,1410.6086v5,,,,https://api.altmetric.com/v1/arxiv/1410.6086v5,,,,-1,,,,,,,,,,,
A model selection approach for multiple sequence segmentation and dimensionality reduction,10.1016/J.JMVA.2018.05.006,,,,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,,,,,-1,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,https://api.altmetric.com/v1/doi/10.1016/J.JMVA.2018.05.006,,,,
A Naturalistic Assessment of the Organization of Children's Memories Predicts Cognitive Functioning and Reading Ability,10.1111/MBE.12122,,,,0.25,,,,,0.25,1,https://api.altmetric.com/v1/doi/10.1111/MBE.12122,57.00,1.00,https://api.altmetric.com/v1/doi/10.1111/MBE.12122,1.00,https://api.altmetric.com/v1/doi/10.1111/MBE.12122,https://api.altmetric.com/v1/doi/10.1111/MBE.12122,1.00,https://api.altmetric.com/v1/doi/10.1111/MBE.12122,https://api.altmetric.com/v1/doi/10.1111/MBE.12122
A Negative Slope Conductance of the Persistent Sodium Current Prolongs Subthreshold Depolarizations.,10.1016/J.BPJ.2017.06.047,,28732557,,0.50,,0.50,,,0.5,2,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047,20.00,2.00,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047,2.00,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047,2.00,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047,https://api.altmetric.com/v1/doi/10.1016/J.BPJ.2017.06.047
A Note on Bayesian Inference for Long-Range Dependence of a Stationary Two-State Process,10.1007/978-3-319-12454-4_25,,,,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,,,,,-1,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,https://api.altmetric.com/v1/doi/10.1007/978-3-319-12454-4_25,,,,
A note on conjugate distributions for copulas,10.1002/MMA.3394,,,,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,,,,,-1,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,https://api.altmetric.com/v1/doi/10.1002/MMA.3394,,,,
A note on perfect simulation for exponential random graph models,,1710.00873,,,,2.85,,,,2.85,,,,,,,,,,,
A note on supersaturated set systems,10.1016/J.EJC.2015.03.028,,,,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,,,,,-1,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.03.028,,,,
A Numerical Study of the Time of Extinction in a Class of Systems of Spiking Neurons,,1911.02609,,,,1.50,,,,1.5,,,,,,,,,,,
A principled multivariate intersubject analysis of generalized partial directed coherence with Dirichlet regression: Application to healthy aging in areas exhibiting cortical thinning,10.1016/J.JNEUMETH.2018.10.033,,30392951,,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,,https://api.altmetric.com/v1/pmid/30392951,,,-1,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,https://api.altmetric.com/v1/doi/10.1016/J.JNEUMETH.2018.10.033,,,,
A Result of Metastability for an Infinite System of Spiking Neurons,10.1007/S10955-019-02402-4,,,,0.25,,,,,0.25,1,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4,1.00,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02402-4
A simple centrality index for scientific social recognition,10.1016/J.PHYSA.2017.08.072,,,,11.58,,,,,11.58,3,https://api.altmetric.com/v1/doi/10.1016/J.PHYSA.2017.08.072,27.00,5.00,1.00,5.00,https://api.altmetric.com/v1/doi/10.1016/J.PHYSA.2017.08.072,https://api.altmetric.com/v1/doi/10.1016/J.PHYSA.2017.08.072,1.00,https://api.altmetric.com/v1/doi/10.1016/J.PHYSA.2017.08.072,https://api.altmetric.com/v1/doi/10.1016/J.PHYSA.2017.08.072
A simple centrality index for scientific social recognition,,1609.05273v2,,,,https://api.altmetric.com/v1/arxiv/1609.05273v2,,,,-1,,,,,,,,,,,
A Stochastic System with Infinite Interacting Components to Model the Time Evolution of the Membrane Potentials of a Population of Neurons,10.1007/S10955-016-1490-3,,,,4.00,,,,,4,3,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3,4.00,4.00,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3,4.00,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3,3.00,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3,https://api.altmetric.com/v1/doi/10.1007/S10955-016-1490-3
A system of interacting neurons with short term plasticity,,1903.01270v1,,,,https://api.altmetric.com/v1/arxiv/1903.01270v1,,,,-1,,,,,,,,,,,
A System of Interacting Neurons with Short Term Synaptic Facilitation,10.1007/S10955-019-02467-1,,,,0.25,,,,,0.25,1,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1,7.00,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1,1.00,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1,https://api.altmetric.com/v1/doi/10.1007/S10955-019-02467-1
A Test of Hypotheses for Random Graph Distributions Built from EEG Data,10.1109/TNSE.2017.2674026,,,,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,,,,,-1,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,https://api.altmetric.com/v1/doi/10.1109/TNSE.2017.2674026,,,,
A Tight Lower Bound for an Online Hypercube Packing Problem and Bounds for Prices of Anarchy of a Related Game,10.1007/978-3-319-77404-6_51,,,,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,,,,,-1,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,https://api.altmetric.com/v1/doi/10.1007/978-3-319-77404-6_51,,,,
Absolute continuity of the invariant measure in Piecewise Deterministic Markov Processes having degenerate jumps,,1601.07123,,,,1.10,,,,1.1,,,,,,,,,,,
Aggregated functional data model for near-infrared spectroscopy calibration and prediction,10.1080/02664763.2014.938224,,,,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,,,,,-1,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,https://api.altmetric.com/v1/doi/10.1080/02664763.2014.938224,,,,
Almost sure convergence of the clustering factor in α-mixing processes,10.1142/S0219493716600169,,,,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,,,,,-1,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,https://api.altmetric.com/v1/doi/10.1142/S0219493716600169,,,,
An ANOVA approach for statistical comparisons of brain networks.,10.1038/S41598-018-23152-5,,29549369,,3.75,,3.75,,,3.75,5,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5,68.00,5.00,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5,5.00,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5,5.00,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5,https://api.altmetric.com/v1/doi/10.1038/S41598-018-23152-5
An improved upper bound on the density of universal random graphs,10.1002/RSA.20545,,,,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,,,,,-1,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,https://api.altmetric.com/v1/doi/10.1002/RSA.20545,,,,
An investigation of Hebbian phase sequences as assembly graphs,10.3389/FNCIR.2014.00034,,24782715,,1.00,,1.00,,,1,1,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034,59.00,1.00,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034,1.00,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034,1.00,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034,https://api.altmetric.com/v1/doi/10.3389/FNCIR.2014.00034
Anticipated and zero-lag synchronization in motifs of delay-coupled systems.,10.1063/1.5006932,,29195321,,0.75,,0.75,,,0.75,2,https://api.altmetric.com/v1/doi/10.1063/1.5006932,21.00,4.00,https://api.altmetric.com/v1/doi/10.1063/1.5006932,3.00,https://api.altmetric.com/v1/doi/10.1063/1.5006932,1.00,1.00,https://api.altmetric.com/v1/doi/10.1063/1.5006932,https://api.altmetric.com/v1/doi/10.1063/1.5006932
Anticipated Synchronization and Zero-Lag Phases in Population Neural Models,10.1142/S0218127418300252,,,,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,,,,,-1,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,https://api.altmetric.com/v1/doi/10.1142/S0218127418300252,,,,
Anticipated synchronization in human EEG data: Unidirectional causality with negative phase lag,10.1103/PHYSREVE.102.032216,,33075996,,0.75,,0.75,,,0.75,3,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216,12.00,3.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216,3.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216,2.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.102.032216
Anticipated synchronization in neuronal circuits unveiled by a phase-response-curve analysis.,10.1103/PHYSREVE.95.052410,1703.03444,28618595,,1.50,1.50,1.50,,,1.5,2,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410,14.00,2.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410,2.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410,2.00,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410,https://api.altmetric.com/v1/doi/10.1103/PHYSREVE.95.052410
Asymmetric hyperpolarized and depolarized subthreshold resonance in neurons,,1804.04748v2,,,,https://api.altmetric.com/v1/arxiv/1804.04748v2,,,,-1,,,,,,,,,,,
Asymmetrical voltage response in resonant neurons shaped by nonlinearities,10.1063/1.5110033,1804.04748,31675799,,0.25,0.25,0.25,,,0.25,https://api.altmetric.com/v1/doi/10.1063/1.5110033,https://api.altmetric.com/v1/doi/10.1063/1.5110033,6.00,1.00,https://api.altmetric.com/v1/doi/10.1063/1.5110033,1.00,https://api.altmetric.com/v1/doi/10.1063/1.5110033,1.00,0.00,https://api.altmetric.com/v1/doi/10.1063/1.5110033,https://api.altmetric.com/v1/doi/10.1063/1.5110033
Asymptotic Analysis of the Elephant Random Walk,,1910.03142,,,,0.25,,,,0.25,,,,,,,,,,,
Asymptotic enumeration of sparse uniform hypergraphs with given degrees,10.1016/J.EJC.2015.06.004,,,,0.25,,,,,0.25,1,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004,5.00,1.00,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004,1.00,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004,1.00,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004,https://api.altmetric.com/v1/doi/10.1016/J.EJC.2015.06.004
Asymptotically Deterministic Time of Extinction for a Stochastic System of Spiking Neurons,,1910.00055v2,,,,https://api.altmetric.com/v1/arxiv/1910.00055v2,,,,-1,,,,,,,,,,,
Attractive regular stochastic chains: perfect simulation and phase transition,10.1017/ETDS.2013.7,1110.6530,,,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/arxiv/1110.6530,,,,-1,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,https://api.altmetric.com/v1/doi/10.1017/ETDS.2013.7,,,,
Automated analysis of free speech predicts psychosis onset in high-risk youths,10.1038/NPJSCHZ.2015.30,,27336038,,388.10,,388.10,,,388.096,201,3.00,659.00,296.00,13.00,256.00,17.00,8.00,34.00,1.00,11.00
Balance Impairments after Brachial Plexus Injury as Assessed through Clinical and Posturographic Evaluation.,10.3389/FNHUM.2015.00715,,26834610,,0.25,,0.25,,,0.25,1,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715,40.00,1.00,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715,1.00,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715,1.00,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715,https://api.altmetric.com/v1/doi/10.3389/FNHUM.2015.00715
Bayesian Inference on the Memory Parameter for Gamma-Modulated Regression Models,10.3390/E17106576,,,,0.50,,,,,0.5,1,https://api.altmetric.com/v1/doi/10.3390/E17106576,5.00,1.00,https://api.altmetric.com/v1/doi/10.3390/E17106576,1.00,https://api.altmetric.com/v1/doi/10.3390/E17106576,https://api.altmetric.com/v1/doi/10.3390/E17106576,1.00,https://api.altmetric.com/v1/doi/10.3390/E17106576,https://api.altmetric.com/v1/doi/10.3390/E17106576
Binding of Filamentous Actin to CaMKII as Potential Regulation Mechanism of Bidirectional Synaptic Plasticity by β CaMKII in Cerebellar Purkinje Cells,10.1038/S41598-020-65870-9,,32488204,,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,,https://api.altmetric.com/v1/pmid/32488204,,,-1,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,https://api.altmetric.com/v1/doi/10.1038/S41598-020-65870-9,,,,
